	combination	SumsOfSqs	MeanSqs	F.Model	R2	P.value	P.value.corrected
51	intestine.MMV <-> water.V	1.50993890970791	1.50993890970791	5.80169581258853	0.243751363695693	0.001998001998002	0.00432900432900433
52	intestine.MMV <-> water.MM	1.62768048857906	1.62768048857906	6.29394014803486	0.25907448975682	0.003996003996004	0.00727272727272727
53	intestine.MMV <-> water.VM	1.6655426007801	1.6655426007801	6.50381854226512	0.265420613160642	0.001998001998002	0.00432900432900433
54	intestine.MMV <-> water.MMV	1.18593945677524	1.18593945677524	4.39704339256629	0.205497708814008	0.00899100899100899	0.0141065830721003
55	intestine.MMV <-> water.VMV	2.01773041952303	2.01773041952303	8.07786065428372	0.298319751232112	0.001998001998002	0.00432900432900433
56	intestine.VMV <-> feed.M	1.56073751210066	1.56073751210066	5.87173195822965	0.245970085811281	0.001998001998002	0.00432900432900433
57	intestine.VMV <-> feed.V	1.61741726591809	1.61741726591809	6.2109370437526	0.256534351914119	0.001998001998002	0.00432900432900433
58	intestine.VMV <-> water.M	1.55229865298534	1.55229865298534	5.82624231970827	0.244530473648755	0.001998001998002	0.00432900432900433
59	intestine.VMV <-> water.V	1.54774186262309	1.54774186262309	5.82972121218143	0.244640764374589	0.000999000999000999	0.00336700336700337
60	intestine.VMV <-> water.MM	1.64273451906836	1.64273451906836	6.2261557512689	0.25700139201585	0.001998001998002	0.00432900432900433
61	intestine.VMV <-> water.VM	1.6803966913295	1.6803966913295	6.4304111978999	0.263213383753961	0.001998001998002	0.00432900432900433
62	intestine.VMV <-> water.MMV	1.1948832515471	1.1948832515471	4.34101811880085	0.203411950387528	0.00599400599400599	0.0102915951972556
63	intestine.VMV <-> water.VMV	2.03566752310508	2.03566752310508	7.99105796817757	0.296063162014583	0.000999000999000999	0.00336700336700337
64	feed.M <-> feed.V	0.231736946162631	0.231736946162631	3.76157941074988	0.48464097468874	0.1	0.105813953488372
65	feed.M <-> water.M	1.2383255729958	1.2383255729958	13.9629404525148	0.77731930857456	0.1	0.105813953488372
66	feed.M <-> water.V	1.27207997488119	1.27207997488119	15.0624537211621	0.790163424997097	0.1	0.105813953488372
67	feed.M <-> water.MM	1.28804214418671	1.28804214418671	16.7191110354315	0.806941524027762	0.1	0.105813953488372
68	feed.M <-> water.VM	1.28958696041162	1.28958696041162	19.6335675292501	0.830749208935579	0.1	0.105813953488372
69	feed.M <-> water.MMV	1.05414571483142	1.05414571483142	13.2715462390857	0.815629076922405	0.1	0.105813953488372
70	feed.M <-> water.VMV	1.46982874240037	1.46982874240037	18.4148958749733	0.786460720274047	0.026973026973027	0.0383522727272727
71	feed.V <-> water.M	1.27745756923328	1.27745756923328	19.8278670070335	0.832129329963975	0.1	0.105813953488372
72	feed.V <-> water.V	1.32541787068991	1.32541787068991	22.0189219253247	0.846265728784607	0.1	0.105813953488372
73	feed.V <-> water.MM	1.32626617182934	1.32626617182934	25.1277663348957	0.862673987630562	0.1	0.105813953488372
74	feed.V <-> water.VM	1.32751479202841	1.32751479202841	32.0473406822009	0.889034810216248	0.1	0.105813953488372
75	feed.V <-> water.MMV	1.08697435880416	1.08697435880416	23.0861507386159	0.884996447729675	0.1	0.105813953488372
76	feed.V <-> water.VMV	1.51370784135752	1.51370784135752	25.057233723014	0.833650693005337	0.026973026973027	0.0383522727272727
77	water.M <-> water.V	0.07472573450344	0.07472573450344	0.856212081403593	0.176312744800083	0.7	0.715730337078652
78	water.M <-> water.MM	0.419622650234179	0.419622650234179	5.25439928819013	0.567773134113141	0.1	0.105813953488372
79	water.M <-> water.VM	0.432438858006595	0.432438858006595	6.31262060516653	0.612125748328603	0.1	0.105813953488372
80	water.M <-> water.MMV	0.472282376734694	0.472282376734694	5.67712157713946	0.654263228499215	0.1	0.105813953488372
81	water.M <-> water.VMV	0.669457611739126	0.669457611739126	8.15673088050807	0.61996638485571	0.024975024975025	0.0366568914956012
82	water.V <-> water.MM	0.477339780245115	0.477339780245115	6.31165428097272	0.612089399915115	0.1	0.105813953488372
83	water.V <-> water.VM	0.494325297500809	0.494325297500809	7.69126881221614	0.657864337545603	0.1	0.105813953488372
84	water.V <-> water.MMV	0.510204245374028	0.510204245374028	6.57932339776266	0.686825480732733	0.1	0.105813953488372
85	water.V <-> water.VMV	0.704800279331591	0.704800279331591	8.95690288597691	0.641754331827894	0.030969030969031	0.0426997245179063
86	water.MM <-> water.VM	0.0472368230823135	0.0472368230823135	0.830794983197928	0.171978936404366	1	1
87	water.MM <-> water.MMV	0.211062651265838	0.211062651265838	3.11937576047277	0.509753916505983	0.1	0.105813953488372
88	water.MM <-> water.VMV	0.306585382681848	0.306585382681848	4.21382250580742	0.457337061046213	0.024975024975025	0.0366568914956012
89	water.VM <-> water.MMV	0.213727587662146	0.213727587662146	4.06955256443687	0.575644996956188	0.1	0.105813953488372
90	water.VM <-> water.VMV	0.294655744343006	0.294655744343006	4.62777164474376	0.480669028670852	0.030969030969031	0.0426997245179063
91	water.MMV <-> water.VMV	0.065893467527622	0.065893467527622	0.89677839309007	0.18313640542842	0.466666666666667	0.482575757575758
